Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
E1,Four or More Bedrooms,20,"2,840","2,395","2,395","2,600","3,077"
E10,Room,0,.,.,.,.,.
E10,Studio,10,739,570,600,800,925
E10,One Bedroom,60,"1,083",975,"1,000","1,100","1,150"
E10,Two Bedrooms,50,"1,322","1,200","1,225","1,300","1,400"
E10,Three Bedrooms,30,"1,675","1,500","1,500","1,585","1,850"
E10,Four or More Bedrooms,20,"2,011","1,788","1,825","2,000","2,150"
E11,Room,30,735,642,642,689,836
E11,Studio,10,782,675,675,849,850
E11,One Bedroom,100,"1,098","1,000","1,030","1,100","1,200"
E11,Two Bedrooms,150,"1,335","1,250","1,250","1,300","1,425"
E11,Three Bedrooms,50,"1,665","1,550","1,585","1,638","1,800"
E11,Four or More Bedrooms,20,"2,200","2,050","2,075","2,192","2,250"
E12,Room,-,..,..,..,..,..
E12,Studio,-,..,..,..,..,..
E12,One Bedroom,20,"1,050",925,"1,000","1,050","1,138"
E12,Two Bedrooms,40,"1,292","1,200","1,200","1,300","1,350"
E12,Three Bedrooms,40,"1,529","1,350","1,400","1,600","1,650"
E12,Four or More Bedrooms,10,"1,812","1,750","1,750","1,825","1,950"
E13,Room,10,454,412,412,432,467
E13,Studio,10,857,775,800,850,950
E13,One Bedroom,60,"1,129","1,050","1,063","1,111","1,150"
E13,Two Bedrooms,70,"1,342","1,295","1,300","1,350","1,450"
E13,Three Bedrooms,50,"1,664","1,600","1,600","1,700","1,754"
E13,Four or More Bedrooms,10,"1,946","1,800","1,800","1,900","2,000"
E14,Room,10,679,613,613,670,750
E14,Studio,70,"1,366","1,343","1,350","1,352","1,408"
E14,One Bedroom,210,"1,471","1,360","1,380","1,450","1,560"
E14,Two Bedrooms,270,"1,801","1,593","1,625","1,744","1,950"
E14,Three Bedrooms,90,"2,176","1,895","1,950","2,112","2,332"
E14,Four or More Bedrooms,10,"3,109","2,557","2,650","2,817","3,467"
E15,Room,10,711,592,592,592,613
E15,Studio,10,861,825,875,900,950
E15,One Bedroom,90,"1,207","1,100","1,100","1,200","1,300"
E15,Two Bedrooms,150,"1,502","1,400","1,400","1,500","1,600"
E15,Three Bedrooms,60,"1,804","1,625","1,650","1,760","1,900"
E15,Four or More Bedrooms,30,"2,054","1,875","1,900","2,000","2,200"
E16,Room,0,.,.,.,.,.
E16,Studio,50,"1,192","1,150","1,161","1,161","1,225"
E16,One Bedroom,140,"1,355","1,318","1,336","1,400","1,450"
E16,Two Bedrooms,210,"1,681","1,573","1,650","1,741","1,802"
E16,Three Bedrooms,80,"1,966","1,700","1,750","2,088","2,170"
E16,Four or More Bedrooms,10,"2,386","1,900","2,000","2,600","2,817"
E17,Room,-,..,..,..,..,..
