Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
RM1,Studio,10,703,700,700,708,750
RM1,One Bedroom,40,903,835,850,900,950
RM1,Two Bedrooms,70,"1,123","1,025","1,050","1,100","1,200"
RM1,Three Bedrooms,20,"1,365","1,350","1,350","1,350","1,400"
RM1,Four or More Bedrooms,10,"1,634","1,500","1,500","1,700","1,750"
RM10,Room,10,507,542,542,542,542
RM10,Studio,-,..,..,..,..,..
RM10,One Bedroom,20,859,800,820,860,900
RM10,Two Bedrooms,20,"1,124","1,050","1,075","1,125","1,200"
RM10,Three Bedrooms,40,"1,368","1,300","1,325","1,400","1,450"
RM10,Four or More Bedrooms,-,..,..,..,..,..
RM11,Room,0,.,.,.,.,.
RM11,Studio,-,..,..,..,..,..
RM11,One Bedroom,20,896,870,875,900,950
RM11,Two Bedrooms,30,"1,111","1,025","1,050","1,100","1,200"
RM11,Three Bedrooms,20,"1,397","1,263","1,300","1,400","1,500"
RM11,Four or More Bedrooms,10,"2,330","1,700","1,700","1,700","1,750"
RM12,Room,10,628,624,624,624,624
RM12,Studio,0,.,.,.,.,.
RM12,One Bedroom,20,902,800,800,875,"1,000"
RM12,Two Bedrooms,30,"1,120","1,050","1,050","1,100","1,195"
RM12,Three Bedrooms,40,"1,462","1,351","1,398","1,488","1,600"
RM12,Four or More Bedrooms,10,"1,832","1,700","1,700","1,890","1,995"
RM13,Room,0,.,.,.,.,.
RM13,Studio,-,..,..,..,..,..
RM13,One Bedroom,20,877,850,850,863,950
RM13,Two Bedrooms,30,"1,065",950,"1,000","1,100","1,150"
RM13,Three Bedrooms,60,"1,362","1,290","1,300","1,350","1,450"
RM13,Four or More Bedrooms,10,"1,629","1,600","1,600","1,600","1,700"
RM14,Room,0,.,.,.,.,.
RM14,Studio,0,.,.,.,.,.
RM14,One Bedroom,-,..,..,..,..,..
RM14,Two Bedrooms,30,"1,177","1,050","1,050","1,200","1,350"
RM14,Three Bedrooms,20,"1,541","1,375","1,400","1,500","1,673"
RM14,Four or More Bedrooms,10,"2,204","2,000","2,000","2,225","2,575"
RM15,Room,0,.,.,.,.,.
RM15,Studio,0,.,.,.,.,.
RM15,One Bedroom,0,.,.,.,.,.
RM15,Two Bedrooms,0,.,.,.,.,.
RM15,Three Bedrooms,0,.,.,.,.,.
RM15,Four or More Bedrooms,0,.,.,.,.,.
RM2,Room,-,..,..,..,..,..
RM2,Studio,0,.,.,.,.,.
RM2,One Bedroom,10,897,850,850,875,900
RM2,Two Bedrooms,30,"1,196","1,100","1,100","1,200","1,250"
RM2,Three Bedrooms,10,"1,456","1,333","1,333","1,450","1,600"
RM2,Four or More Bedrooms,-,..,..,..,..,..
RM3,Room,-,..,..,..,..,..
RM3,Studio,-,..,..,..,..,..
RM3,One Bedroom,40,865,750,800,850,925
RM3,Two Bedrooms,40,"1,090",950,"1,000","1,050","1,200"
RM3,Three Bedrooms,50,"1,356","1,250","1,285","1,350","1,500"
RM3,Four or More Bedrooms,10,"1,624","1,395","1,400","1,500","1,975"
RM4,Room,0,.,.,.,.,.
RM4,Studio,0,.,.,.,.,.
RM4,One Bedroom,0,.,.,.,.,.
RM4,Two Bedrooms,-,..,..,..,..,..
RM4,Three Bedrooms,0,.,.,.,.,.
RM4,Four or More Bedrooms,-,..,..,..,..,..
RM5,Room,0,.,.,.,.,.
RM5,Studio,0,.,.,.,.,.
RM5,One Bedroom,10,839,800,825,850,900
RM5,Two Bedrooms,20,"1,151",985,995,"1,188","1,285"
RM5,Three Bedrooms,30,"1,329","1,250","1,300","1,350","1,400"
RM5,Four or More Bedrooms,-,..,..,..,..,..
RM50,Room,0,.,.,.,.,.
RM50,Studio,0,.,.,.,.,.
RM50,One Bedroom,0,.,.,.,.,.
RM50,Two Bedrooms,0,.,.,.,.,.
RM50,Three Bedrooms,0,.,.,.,.,.
RM50,Four or More Bedrooms,0,.,.,.,.,.
RM6,Room,-,..,..,..,..,..
RM6,Studio,10,726,665,695,750,750
RM6,One Bedroom,20,881,825,850,888,900
RM6,Two Bedrooms,50,"1,110","1,050","1,100","1,100","1,200"
RM6,Three Bedrooms,30,"1,392","1,300","1,325","1,400","1,500"
RM6,Four or More Bedrooms,-,..,..,..,..,..
RM7,Room,10,632,617,617,624,642
RM7,Studio,-,..,..,..,..,..
RM7,One Bedroom,50,936,900,900,950,"1,000"
RM7,Two Bedrooms,60,"1,176","1,100","1,100","1,200","1,250"
RM7,Three Bedrooms,30,"1,365","1,340","1,340","1,350","1,400"
RM7,Four or More Bedrooms,10,"1,641","1,475","1,500","1,668","1,750"
RM8,Room,0,.,.,.,.,.
RM8,Studio,-,..,..,..,..,..
RM8,One Bedroom,20,934,850,875,925,"1,050"
RM8,Two Bedrooms,50,"1,200","1,125","1,150","1,200","1,250"
RM8,Three Bedrooms,30,"1,417","1,300","1,300","1,425","1,500"
RM8,Four or More Bedrooms,10,"1,609","1,600","1,600","1,650","1,700"
RM9,Room,0,.,.,.,.,.
RM9,Studio,0,.,.,.,.,.
RM9,One Bedroom,10,894,850,875,900,985
RM9,Two Bedrooms,30,"1,214","1,150","1,175","1,200","1,300"
RM9,Three Bedrooms,20,"1,343","1,300","1,300","1,350","1,450"
RM9,Four or More Bedrooms,-,..,..,..,..,..
SE1,Room,-,..,..,..,..,..
SE1,Studio,20,"1,199","1,170","1,172","1,200","1,250"
SE1,One Bedroom,160,"1,633","1,350","1,400","1,603","1,800"
SE1,Two Bedrooms,160,"2,135","1,733","1,777","2,015","2,492"
SE1,Three Bedrooms,40,"2,738","2,400","2,405","2,600","3,025"
SE1,Four or More Bedrooms,-,..,..,..,..,..
SE10,Room,-,..,..,..,..,..
SE10,Studio,-,..,..,..,..,..
SE10,One Bedroom,60,"1,371","1,270","1,325","1,395","1,450"
SE10,Two Bedrooms,80,"1,705","1,500","1,550","1,650","1,800"
SE10,Three Bedrooms,40,"2,279","1,950","2,000","2,100","2,500"
SE10,Four or More Bedrooms,-,..,..,..,..,..
SE11,Room,0,.,.,.,.,.
SE11,Studio,-,..,..,..,..,..
SE11,One Bedroom,20,"1,365","1,300","1,300","1,365","1,500"
SE11,Two Bedrooms,20,"1,714","1,500","1,582","1,750","2,000"
SE11,Three Bedrooms,10,"2,119","1,700","2,000","2,200","2,350"
SE11,Four or More Bedrooms,10,"3,267","3,200","3,200","3,250","3,440"
SE12,Room,0,.,.,.,.,.
SE12,Studio,0,.,.,.,.,.
SE12,One Bedroom,30,"1,040",950,"1,000","1,000","1,150"
SE12,Two Bedrooms,60,"1,232","1,150","1,150","1,250","1,300"
SE12,Three Bedrooms,30,"1,556","1,450","1,450","1,550","1,600"
SE12,Four or More Bedrooms,10,"2,059","1,875","1,875","2,150","2,250"
SE13,Room,-,..,..,..,..,..
SE13,Studio,30,922,800,825,875,"1,066"
SE13,One Bedroom,190,"1,282","1,150","1,200","1,320","1,425"
SE13,Two Bedrooms,170,"1,487","1,300","1,325","1,473","1,710"
SE13,Three Bedrooms,30,"1,778","1,600","1,600","1,674","1,900"
SE13,Four or More Bedrooms,10,"2,188","1,775","1,850","2,300","2,500"
SE14,Room,0,.,.,.,.,.
SE14,Studio,-,..,..,..,..,..
SE14,One Bedroom,20,"1,137","1,050","1,050","1,100","1,250"
SE14,Two Bedrooms,20,"1,400","1,300","1,325","1,388","1,538"
SE14,Three Bedrooms,10,"1,742","1,500","1,699","1,795","2,000"
SE14,Four or More Bedrooms,0,.,.,.,.,.
SE15,Room,10,596,550,550,596,642
SE15,Studio,-,..,..,..,..,..
SE15,One Bedroom,70,"1,282","1,192","1,200","1,250","1,400"
SE15,Two Bedrooms,80,"1,589","1,400","1,450","1,555","1,700"
SE15,Three Bedrooms,30,"2,065","1,995","2,000","2,200","2,300"
SE15,Four or More Bedrooms,20,"2,634","2,400","2,500","2,500","2,800"
SE16,Room,-,..,..,..,..,..
SE16,Studio,-,..,..,..,..,..
SE16,One Bedroom,100,"1,343","1,200","1,250","1,300","1,425"
SE16,Two Bedrooms,120,"1,674","1,500","1,500","1,600","1,800"
SE16,Three Bedrooms,30,"2,102","1,850","1,900","2,100","2,344"
SE16,Four or More Bedrooms,10,"2,607","2,400","2,400","2,600","2,800"
SE17,Room,0,.,.,.,.,.
SE17,Studio,-,..,..,..,..,..
SE17,One Bedroom,20,"1,255","1,200","1,200","1,250","1,375"
SE17,Two Bedrooms,30,"1,545","1,380","1,450","1,500","1,650"
SE17,Three Bedrooms,20,"1,782","1,515","1,540","1,760","1,950"
SE17,Four or More Bedrooms,20,"2,509","2,330","2,350","2,550","2,675"
SE18,Room,10,696,550,700,700,742
SE18,Studio,10,821,750,750,830,875
SE18,One Bedroom,90,"1,057",900,950,"1,000","1,150"
SE18,Two Bedrooms,130,"1,305","1,150","1,200","1,250","1,450"
SE18,Three Bedrooms,50,"1,468","1,350","1,400","1,450","1,575"
SE18,Four or More Bedrooms,10,"1,952","1,600","1,600","1,763","1,975"
SE19,Room,-,..,..,..,..,..
SE19,Studio,-,..,..,..,..,..
SE19,One Bedroom,20,"1,036",900,975,"1,020","1,100"
SE19,Two Bedrooms,20,"1,340","1,245","1,300","1,313","1,400"
SE19,Three Bedrooms,10,"1,650","1,450","1,450","1,600","1,850"
SE19,Four or More Bedrooms,-,..,..,..,..,..
SE1P,Room,0,.,.,.,.,.
SE1P,Studio,0,.,.,.,.,.
SE1P,One Bedroom,0,.,.,.,.,.
SE1P,Two Bedrooms,0,.,.,.,.,.
SE1P,Three Bedrooms,0,.,.,.,.,.
SE1P,Four or More Bedrooms,0,.,.,.,.,.
SE2,Room,0,.,.,.,.,.
SE2,Studio,0,.,.,.,.,.
SE2,One Bedroom,10,799,775,778,778,830
SE2,Two Bedrooms,10,950,880,884,900,940
SE2,Three Bedrooms,40,"1,209","1,131","1,131","1,150","1,311"
SE2,Four or More Bedrooms,10,"1,451","1,245","1,245","1,297","1,375"
SE20,Room,0,.,.,.,.,.
SE20,Studio,10,829,800,800,850,875
SE20,One Bedroom,60,961,900,900,950,"1,013"
SE20,Two Bedrooms,40,"1,179","1,050","1,100","1,200","1,295"
SE20,Three Bedrooms,10,"1,460","1,413","1,425","1,500","1,525"
SE20,Four or More Bedrooms,-,..,..,..,..,..
SE21,Room,0,.,.,.,.,.
SE21,Studio,-,..,..,..,..,..
SE21,One Bedroom,10,"1,329","1,325","1,350","1,350","1,400"
SE21,Two Bedrooms,70,"1,369","1,103","1,150","1,275","1,700"
SE21,Three Bedrooms,20,"2,015","1,850","1,850","1,925","2,200"
SE21,Four or More Bedrooms,10,"3,602","3,200","3,200","3,600","4,300"
SE22,Room,-,..,..,..,..,..
SE22,Studio,10,991,938,975,993,"1,033"
SE22,One Bedroom,50,"1,301","1,200","1,250","1,300","1,400"
SE22,Two Bedrooms,70,"1,629","1,525","1,563","1,650","1,750"
SE22,Three Bedrooms,20,"2,143","1,925","1,975","2,250","2,350"
SE22,Four or More Bedrooms,10,"2,779","2,600","2,600","2,800","3,000"
SE23,Room,-,..,..,..,..,..
SE23,Studio,20,806,800,800,800,850
SE23,One Bedroom,30,"1,094",950,995,"1,100","1,150"
SE23,Two Bedrooms,40,"1,376","1,300","1,300","1,375","1,500"
SE23,Three Bedrooms,10,"1,724","1,650","1,670","1,750","1,800"
SE23,Four or More Bedrooms,10,"1,992","1,665","1,683","2,000","2,400"
SE24,Room,0,.,.,.,.,.
SE24,Studio,-,..,..,..,..,..
SE24,One Bedroom,20,"1,345","1,245","1,250","1,395","1,475"
SE24,Two Bedrooms,30,"1,606","1,495","1,500","1,638","1,750"
SE24,Three Bedrooms,10,"2,371","1,650","1,850","2,450","2,900"
SE24,Four or More Bedrooms,10,"3,200","2,200","2,200","3,475","3,650"
SE25,Room,10,536,485,485,505,600
SE25,Studio,10,742,701,725,750,792
SE25,One Bedroom,70,924,850,875,910,975
SE25,Two Bedrooms,60,"1,189","1,100","1,150","1,200","1,250"
SE25,Three Bedrooms,20,"1,487","1,400","1,400","1,475","1,600"
SE25,Four or More Bedrooms,-,..,..,..,..,..
SE26,Room,0,.,.,.,.,.
SE26,Studio,10,843,750,750,825,860
SE26,One Bedroom,50,"1,050",950,975,"1,050","1,150"
SE26,Two Bedrooms,90,"1,263","1,155","1,200","1,255","1,358"
SE26,Three Bedrooms,30,"1,581","1,400","1,400","1,588","1,725"
SE26,Four or More Bedrooms,10,"2,516","2,250","2,300","2,339","2,725"
SE27,Room,0,.,.,.,.,.
SE27,Studio,0,.,.,.,.,.
SE27,One Bedroom,10,"1,158","1,100","1,100","1,148","1,250"
SE27,Two Bedrooms,10,"1,361","1,225","1,275","1,300","1,480"
SE27,Three Bedrooms,-,..,..,..,..,..
SE27,Four or More Bedrooms,0,.,.,.,.,.
SE28,Room,-,..,..,..,..,..
SE28,Studio,-,..,..,..,..,..
SE28,One Bedroom,10,913,850,875,875,925
SE28,Two Bedrooms,20,"1,181","1,100","1,110","1,200","1,300"
SE28,Three Bedrooms,10,"1,356","1,275","1,300","1,340","1,400"
SE28,Four or More Bedrooms,-,..,..,..,..,..
SE3,Room,-,..,..,..,..,..
SE3,Studio,10,958,875,875,925,"1,050"
SE3,One Bedroom,60,"1,261","1,148","1,150","1,250","1,338"
SE3,Two Bedrooms,100,"1,518","1,325","1,400","1,500","1,700"
SE3,Three Bedrooms,40,"1,854","1,625","1,650","1,825","2,000"
SE3,Four or More Bedrooms,10,"2,338","2,000","2,000","2,600","3,000"
SE4,Room,-,..,..,..,..,..
SE4,Studio,10,771,700,700,800,825
SE4,One Bedroom,30,"1,043",950,"1,000","1,050","1,150"
SE4,Two Bedrooms,40,"1,360","1,300","1,300","1,361","1,425"
SE4,Three Bedrooms,10,"1,604","1,343","1,500","1,635","1,795"
SE4,Four or More Bedrooms,-,..,..,..,..,..
SE5,Room,10,638,642,642,650,692
SE5,Studio,0,.,.,.,.,.
SE5,One Bedroom,30,"1,260","1,225","1,250","1,300","1,400"
SE5,Two Bedrooms,50,"1,433","1,350","1,378","1,440","1,567"
SE5,Three Bedrooms,20,"2,032","1,900","1,950","2,050","2,200"
SE5,Four or More Bedrooms,10,"2,909","2,500","2,500","3,045","3,300"
SE6,Room,20,550,500,500,500,592
SE6,Studio,10,824,800,800,825,850
SE6,One Bedroom,70,"1,011",925,950,"1,000","1,100"
SE6,Two Bedrooms,100,"1,245","1,150","1,177","1,238","1,350"
SE6,Three Bedrooms,30,"1,537","1,450","1,473","1,500","1,650"
SE6,Four or More Bedrooms,10,"1,812","1,700","1,733","1,800","2,100"
SE7,Room,10,558,542,542,560,585
SE7,Studio,0,.,.,.,.,.
SE7,One Bedroom,20,"1,150","1,100","1,100","1,150","1,250"
SE7,Two Bedrooms,30,"1,297","1,200","1,200","1,300","1,400"
SE7,Three Bedrooms,20,"1,683","1,600","1,600","1,750","1,800"
SE7,Four or More Bedrooms,10,"2,179","2,000","2,000","2,100","2,400"
SE8,Room,20,693,592,617,692,842
SE8,Studio,10,973,925,950,968,"1,000"
SE8,One Bedroom,50,"1,209","1,100","1,100","1,192","1,350"
SE8,Two Bedrooms,60,"1,367","1,250","1,278","1,370","1,550"
SE8,Three Bedrooms,10,"1,641","1,160","1,230","1,725","1,800"
SE8,Four or More Bedrooms,-,..,..,..,..,..
SE9,Room,-,..,..,..,..,..
SE9,Studio,10,822,825,825,825,850
SE9,One Bedroom,30,993,900,925,950,"1,075"
SE9,Two Bedrooms,70,"1,245","1,150","1,150","1,200","1,350"
SE9,Three Bedrooms,60,"1,511","1,363","1,400","1,500","1,650"
SE9,Four or More Bedrooms,10,"2,140","1,850","1,900","2,200","2,500"
SE99,Room,0,.,.,.,.,.
SE99,Studio,0,.,.,.,.,.
SE99,One Bedroom,0,.,.,.,.,.
SE99,Two Bedrooms,0,.,.,.,.,.
SE99,Three Bedrooms,0,.,.,.,.,.
SE99,Four or More Bedrooms,0,.,.,.,.,.
SM1,Room,-,..,..,..,..,..
SM1,Studio,10,775,750,775,775,795
SM1,One Bedroom,120,931,875,895,920,975
SM1,Two Bedrooms,150,"1,181","1,100","1,100","1,195","1,250"
SM1,Three Bedrooms,50,"1,481","1,350","1,375","1,455","1,600"
SM1,Four or More Bedrooms,10,"1,878","1,700","1,700","1,800","1,900"
SM2,Room,-,..,..,..,..,..
SM2,Studio,20,794,775,775,798,825
SM2,One Bedroom,180,941,900,900,950,995
SM2,Two Bedrooms,230,"1,171","1,095","1,100","1,175","1,250"
SM2,Three Bedrooms,40,"1,470","1,325","1,350","1,450","1,575"
SM2,Four or More Bedrooms,10,"2,016","1,755","1,755","1,950","2,100"
SM3,Room,0,.,.,.,.,.
SM3,Studio,10,794,750,750,775,800
SM3,One Bedroom,10,958,825,838,963,"1,050"
SM3,Two Bedrooms,30,"1,221","1,080","1,150","1,250","1,300"
SM3,Three Bedrooms,20,"1,659","1,595","1,595","1,613","1,650"
SM3,Four or More Bedrooms,-,..,..,..,..,..
SM4,Room,-,..,..,..,..,..
SM4,Studio,-,..,..,..,..,..
SM4,One Bedroom,10,"1,019",950,"1,000","1,050","1,100"
SM4,Two Bedrooms,30,"1,287","1,175","1,200","1,250","1,350"
SM4,Three Bedrooms,20,"1,580","1,450","1,450","1,525","1,745"
SM4,Four or More Bedrooms,10,"2,215","1,750","1,750","2,048","2,700"
SM5,Room,-,..,..,..,..,..
SM5,Studio,-,..,..,..,..,..
SM5,One Bedroom,20,887,850,865,895,925
SM5,Two Bedrooms,40,"1,110","1,000","1,000","1,100","1,250"
SM5,Three Bedrooms,20,"1,428","1,375","1,395","1,450","1,500"
SM5,Four or More Bedrooms,-,..,..,..,..,..
SM6,Room,-,..,..,..,..,..
SM6,Studio,10,705,625,665,725,750
SM6,One Bedroom,40,897,850,850,900,950
SM6,Two Bedrooms,80,"1,142","1,073","1,075","1,150","1,250"
SM6,Three Bedrooms,20,"1,489","1,400","1,450","1,500","1,575"
SM6,Four or More Bedrooms,10,"1,928","1,800","1,800","1,900","2,100"
SM7,Room,0,.,.,.,.,.
SM7,Studio,0,.,.,.,.,.
SM7,One Bedroom,0,.,.,.,.,.
SM7,Two Bedrooms,0,.,.,.,.,.
SM7,Three Bedrooms,0,.,.,.,.,.
SM7,Four or More Bedrooms,0,.,.,.,.,.
SW10,Room,0,.,.,.,.,.
SW10,Studio,10,"1,409","1,278","1,278","1,350","1,475"
SW10,One Bedroom,50,"1,842","1,560","1,600","1,782","2,058"
SW10,Two Bedrooms,50,"2,237","1,885","1,938","2,188","2,406"
SW10,Three Bedrooms,10,"3,536","3,100","3,100","3,564","3,683"
SW10,Four or More Bedrooms,-,..,..,..,..,..
SW11,Room,0,.,.,.,.,.
SW11,Studio,10,"1,000",850,850,930,"1,083"
SW11,One Bedroom,150,"1,474","1,268","1,300","1,461","1,693"
SW11,Two Bedrooms,250,"1,978","1,688","1,733","1,900","2,200"
SW11,Three Bedrooms,100,"2,575","2,113","2,340","2,500","2,750"
SW11,Four or More Bedrooms,50,"3,509","3,000","3,077","3,400","3,750"
SW12,Room,0,.,.,.,.,.
SW12,Studio,10,"1,162","1,150","1,200","1,200","1,235"
SW12,One Bedroom,40,"1,461","1,328","1,350","1,450","1,603"
SW12,Two Bedrooms,70,"1,976","1,733","1,800","1,971","2,200"
SW12,Three Bedrooms,20,"2,374","2,000","2,075","2,360","2,578"
SW12,Four or More Bedrooms,10,"3,379","3,100","3,100","3,481","3,748"
SW13,Room,0,.,.,.,.,.
SW13,Studio,10,"1,053",900,948,"1,067","1,105"
SW13,One Bedroom,80,"1,396","1,250","1,300","1,400","1,500"
SW13,Two Bedrooms,150,"1,867","1,500","1,550","1,750","2,100"
SW13,Three Bedrooms,80,"2,474","1,825","1,900","2,250","2,950"
SW13,Four or More Bedrooms,40,"4,946","2,998","3,000","3,725","5,775"
SW14,Room,0,.,.,.,.,.
SW14,Studio,10,"1,100",900,925,998,"1,400"
SW14,One Bedroom,90,"1,286","1,200","1,200","1,295","1,375"
SW14,Two Bedrooms,250,"1,687","1,450","1,495","1,650","1,850"
SW14,Three Bedrooms,110,"2,352","1,795","1,900","2,250","2,665"
SW14,Four or More Bedrooms,100,"3,803","2,950","3,000","3,500","4,099"
SW15,Room,0,.,.,.,.,.
SW15,Studio,10,"1,059",950,975,"1,003","1,195"
SW15,One Bedroom,130,"1,421","1,350","1,350","1,445","1,517"
SW15,Two Bedrooms,220,"1,797","1,550","1,595","1,750","1,995"
SW15,Three Bedrooms,90,"2,216","1,800","1,850","2,100","2,400"
SW15,Four or More Bedrooms,50,"3,545","2,245","2,450","2,900","3,795"
SW16,Room,10,708,625,625,725,780
SW16,Studio,10,764,676,700,800,800
SW16,One Bedroom,50,"1,120","1,020","1,025","1,100","1,225"
SW16,Two Bedrooms,60,"1,369","1,250","1,275","1,342","1,472"
SW16,Three Bedrooms,40,"1,600","1,473","1,550","1,650","1,700"
SW16,Four or More Bedrooms,30,"2,002","1,650","1,725","1,900","2,300"
SW17,Room,-,..,..,..,..,..
SW17,Studio,10,"1,108","1,000","1,025","1,051","1,250"
SW17,One Bedroom,30,"1,270","1,063","1,200","1,300","1,400"
SW17,Two Bedrooms,60,"1,526","1,400","1,400","1,490","1,605"
SW17,Three Bedrooms,30,"2,019","1,750","1,800","2,038","2,275"
SW17,Four or More Bedrooms,30,"2,450","2,100","2,200","2,350","2,700"
SW18,Room,0,.,.,.,.,.
SW18,Studio,-,..,..,..,..,..
SW18,One Bedroom,70,"1,383","1,275","1,300","1,350","1,500"
SW18,Two Bedrooms,160,"1,744","1,550","1,600","1,700","1,875"
SW18,Three Bedrooms,60,"2,298","1,863","1,900","2,200","2,600"
SW18,Four or More Bedrooms,50,"3,166","2,700","2,800","3,050","3,520"
SW19,Room,10,658,580,600,703,732
SW19,Studio,30,"1,130",950,950,"1,050","1,313"
SW19,One Bedroom,340,"1,278","1,175","1,200","1,250","1,375"
SW19,Two Bedrooms,500,"1,591","1,400","1,450","1,550","1,700"
SW19,Three Bedrooms,170,"2,164","1,750","1,800","2,100","2,375"
SW19,Four or More Bedrooms,120,"3,058","2,350","2,450","2,750","3,175"
SW1A,Room,0,.,.,.,.,.
SW1A,Studio,0,.,.,.,.,.
SW1A,One Bedroom,-,..,..,..,..,..
SW1A,Two Bedrooms,-,..,..,..,..,..
SW1A,Three Bedrooms,-,..,..,..,..,..
SW1A,Four or More Bedrooms,0,.,.,.,.,.
SW1E,Room,0,.,.,.,.,.
SW1E,Studio,0,.,.,.,.,.
SW1E,One Bedroom,-,..,..,..,..,..
SW1E,Two Bedrooms,10,"3,305","2,542","2,542","3,300","4,104"
SW1E,Three Bedrooms,10,"4,763","3,250","3,250","5,250","6,000"
SW1E,Four or More Bedrooms,0,.,.,.,.,.
SW1H,Room,0,.,.,.,.,.
SW1H,Studio,0,.,.,.,.,.
SW1H,One Bedroom,-,..,..,..,..,..
SW1H,Two Bedrooms,-,..,..,..,..,..
SW1H,Three Bedrooms,0,.,.,.,.,.
SW1H,Four or More Bedrooms,0,.,.,.,.,.
SW1P,Room,0,.,.,.,.,.
SW1P,Studio,10,"1,435","1,224","1,235","1,384","1,614"
SW1P,One Bedroom,30,"1,751","1,538","1,625","1,820","1,885"
SW1P,Two Bedrooms,50,"2,847","2,145","2,167","2,405","2,752"
SW1P,Three Bedrooms,20,"3,630","3,231","3,315","3,489","3,900"
SW1P,Four or More Bedrooms,-,..,..,..,..,..
SW1V,Room,0,.,.,.,.,.
SW1V,Studio,10,"1,169","1,104","1,150","1,164","1,219"
SW1V,One Bedroom,90,"1,939","1,582","1,625","1,787","1,950"
SW1V,Two Bedrooms,90,"2,391","2,015","2,058","2,178","2,557"
SW1V,Three Bedrooms,40,"3,184","2,524","2,708","3,006","3,423"
SW1V,Four or More Bedrooms,10,"6,965","5,001","5,090","6,674","7,583"
SW1W,Room,0,.,.,.,.,.
SW1W,Studio,10,"1,404","1,408","1,408","1,452","1,495"
SW1W,One Bedroom,30,"2,503","1,482","1,625","2,000","2,687"
SW1W,Two Bedrooms,40,"3,217","2,600","2,708","3,033","3,792"
SW1W,Three Bedrooms,10,"5,246","3,943","3,943","5,200","5,525"
SW1W,Four or More Bedrooms,10,"12,347","7,746","8,667","13,542","15,967"
SW1X,Room,0,.,.,.,.,.
SW1X,Studio,-,..,..,..,..,..
SW1X,One Bedroom,10,"2,170","1,733","1,811","2,145","2,275"
SW1X,Two Bedrooms,10,"4,627","3,575","3,575","4,550","5,200"
SW1X,Three Bedrooms,10,"6,175","4,767","4,767","5,200","6,500"
SW1X,Four or More Bedrooms,10,"8,186","5,498","5,498","6,067","13,867"
SW1Y,Room,0,.,.,.,.,.
SW1Y,Studio,0,.,.,.,.,.
SW1Y,One Bedroom,-,..,..,..,..,..
SW1Y,Two Bedrooms,-,..,..,..,..,..
SW1Y,Three Bedrooms,0,.,.,.,.,.
SW1Y,Four or More Bedrooms,0,.,.,.,.,.
SW2,Room,0,.,.,.,.,.
SW2,Studio,-,..,..,..,..,..
SW2,One Bedroom,30,"1,295","1,148","1,150","1,250","1,450"
SW2,Two Bedrooms,90,"1,620","1,490","1,500","1,565","1,751"
SW2,Three Bedrooms,20,"2,174","1,799","1,850","2,134","2,492"
SW2,Four or More Bedrooms,20,"2,900","2,535","2,600","3,160","3,337"
SW20,Room,0,.,.,.,.,.
SW20,Studio,-,..,..,..,..,..
SW20,One Bedroom,70,"1,201","1,100","1,150","1,200","1,300"
SW20,Two Bedrooms,80,"1,686","1,350","1,400","1,475","1,650"
SW20,Three Bedrooms,40,"2,023","1,815","1,850","1,998","2,150"
SW20,Four or More Bedrooms,40,"3,047","2,600","2,650","2,750","3,150"
SW3,Room,-,..,..,..,..,..
SW3,Studio,80,"1,388","1,235","1,257","1,365","1,517"
SW3,One Bedroom,180,"2,037","1,712","1,750","1,950","2,232"
SW3,Two Bedrooms,160,"3,037","2,462","2,492","2,850","3,467"
SW3,Three Bedrooms,50,"5,156","3,686","3,792","4,333","6,478"
SW3,Four or More Bedrooms,30,"9,649","6,283","6,500","8,883","13,371"
SW4,Room,0,.,.,.,.,.
SW4,Studio,10,"1,150",975,975,"1,213","1,300"
SW4,One Bedroom,120,"1,526","1,400","1,413","1,500","1,648"
SW4,Two Bedrooms,220,"1,868","1,650","1,660","1,798","2,050"
SW4,Three Bedrooms,90,"2,305","2,000","2,050","2,315","2,600"
SW4,Four or More Bedrooms,50,"3,556","3,000","3,033","3,400","3,880"
SW5,Room,0,.,.,.,.,.
SW5,Studio,10,"1,393","1,300","1,300","1,300","1,443"
SW5,One Bedroom,40,"1,875","1,690","1,733","1,885","2,015"
SW5,Two Bedrooms,80,"2,729","2,053","2,100","2,362","2,925"
SW5,Three Bedrooms,10,"3,631","2,510","2,510","3,900","4,550"
SW5,Four or More Bedrooms,10,"5,995","4,469","4,469","6,037","6,721"
SW6,Room,0,.,.,.,.,.
SW6,Studio,20,"1,170",963,"1,013","1,192","1,350"
SW6,One Bedroom,240,"1,530","1,264","1,300","1,500","1,694"
SW6,Two Bedrooms,260,"2,009","1,700","1,750","1,950","2,249"
SW6,Three Bedrooms,120,"2,870","2,301","2,401","2,800","3,250"
SW6,Four or More Bedrooms,110,"4,883","3,650","3,783","4,225","5,612"
SW7,Room,0,.,.,.,.,.
SW7,Studio,20,"1,494","1,343","1,452","1,517","1,712"
SW7,One Bedroom,60,"2,374","1,860","1,950","2,253","2,672"
SW7,Two Bedrooms,100,"3,247","2,448","2,500","2,828","3,467"
SW7,Three Bedrooms,30,"5,434","3,358","3,467","4,117","7,367"
SW7,Four or More Bedrooms,20,"7,534","4,600","5,200","8,051","8,927"
SW8,Room,0,.,.,.,.,.
SW8,Studio,20,"1,472","1,300","1,350","1,591","1,643"
SW8,One Bedroom,90,"1,750","1,560","1,625","1,794","1,915"
